district	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	
Abim	113400	120700	128200	136200	144600	153500	162900	172600	182800	193600	204700	216300	228300	240900	253900	267000	
Adjumani	226500	228600	230500	232400	234300	235900	237400	238800	240000	241200	242000	242700	243200	243400	243500	242900	
Agago	230800	234900	239000	243200	247200	251200	255000	258800	262500	266000	269300	272500	275400	278200	280600	282500	
Alebtong	232400	239000	245700	252400	259200	266100	272800	279600	286400	293200	299900	306500	312900	319200	325300	330800	
Amolatar	150100	154000	158000	162000	166000	170100	174000	178000	182000	185900	189700	193500	197200	200700	204200	241600	
Amudat	109400	114200	119100	124300	129400	134900	140400	146100	151900	157800	163800	169900	176100	182300	188600	194700	
Amuria	188600	195600	202600	210000	217500	225000	232800	240500	248500	256400	264500	272600	280600	288600	296600	304200	
Amuru	190500	195700	200900	206100	211400	216800	222000	227300	232500	237700	242800	247900	252800	257600	262100	266200	
Apac	190500	197400	204500	211700	219000	226600	234100	241900	249600	257500	265400	273300	281200	289000	296800	304100	
Arua	136400	140400	144200	148200	152300	156300	160300	164400	168400	172300	176300	180200	184000	187700	191300	194600	
Arua City	316000	324600	334000	343100	352300	361400	371000	380100	389500	399400	408100	417000	425900	434600	442600	450800	
Budaka	213400	220900	228700	236700	244800	253100	261400	270000	278600	287100	295800	304500	313100	321700	330300	338200	
Bududa	217800	227800	238100	248800	259800	271100	282900	294800	307200	319800	332600	345700	358900	372400	386000	399200	
Bugiri	395200	411200	427800	444900	462400	480400	498700	517400	536400	555800	575300	595100	615000	635000	654900	674100	
Bugweri	168300	172900	177400	182200	186900	191600	196300	201000	205600	210300	214900	219400	223700	228000	232100	235700	
Buhweju	123700	127600	131600	135700	139900	144100	148300	152600	156900	161100	165400	169700	173800	177900	182000	185700	
Buikwe	429300	438300	447300	456300	465200	474100	482900	491400	499800	508000	515900	523500	530700	537500	543800	549000	
Bukedea	210600	219700	229100	238900	249000	259300	269900	280700	291800	303100	314600	326200	338100	349900	361800	373400	
Bukomansimbi	152000	153000	154000	154900	155800	156600	157300	157900	158400	158700	159000	159100	159000	158900	158500	157900	
Bukwo	93000	97800	102800	108100	113500	119100	124900	131000	137200	143600	150300	157000	164100	171100	178400	185500	
Bulambuli	181400	190600	200000	209900	220100	230600	241600	252900	264500	276500	288800	301400	314300	327300	340700	353800	
Buliisa	117600	123500	129600	136000	142500	149300	156400	163700	171300	179000	186900	195100	203400	211900	220500	229000	
Bundibugyo	229400	236100	243000	249900	256800	263800	270800	277900	285000	292000	298900	305700	312500	319100	325500	331400	
Bunyangabu	173500	177700	182000	186400	190700	195100	199500	203800	208000	212200	216300	220300	224300	227900	231500	234600	
Bushenyi	236100	238700	241200	243700	246100	248300	250400	252400	254200	255800	257200	258500	259500	260200	260900	260700	
Busia	331400	341500	351900	362500	373200	384000	394900	405800	416700	427600	438500	449200	459800	470300	480500	489800	
Butaleja	251300	260700	270200	280100	290200	300500	310900	321500	332200	343100	354000	364900	375900	386800	397700	408000	
Butambala	101700	103000	104300	105500	106700	107800	109000	110000	110900	111900	112700	113300	114100	114500	114900	115100	
Butebo	113000	114700	116300	118000	119600	121200	122800	124300	125700	127000	128200	129400	130400	131300	132100	132700	
Buvuma	94500	100700	107200	114000	121300	128900	137000	145300	154200	163500	173100	183200	193800	204700	216100	227600	
Buyende	334500	349500	364900	381000	397500	414600	432100	450100	468400	487100	506300	525700	545300	565200	585300	604800	
Dokolo	187200	192800	198400	204000	209800	215500	221400	227100	232900	238700	244400	250000	255600	261000	266300	271200	
Fort Portal City	103800	106200	108400	110900	113300	115600	117800	119900	122100	124300	126400	128500	130400	132400	134100	135400	
Gomba	161700	164100	166600	169100	171400	173800	176100	178200	180300	182200	184100	185800	187300	188700	189900	190800	
Gulu	101700	104600	107700	110700	114000	117500	120700	123700	127000	130200	133400	136600	139700	142800	145700	148600	
Gulu City	180300	185900	191400	197100	202600	208100	213800	219800	225500	231300	236900	242500	248100	253500	258800	263400	
Hoima	211400	218900	227100	235000	243200	251800	260400	269000	277800	286800	295600	304500	313400	322400	331100	339500	
Hoima City	102900	106800	110400	114600	118600	122700	126800	131000	135300	139500	143900	148300	152600	156800	161300	165100	
Ibanda	253200	258000	262800	267700	272600	277300	281900	286400	290900	295100	299200	303100	306800	310100	313400	315800	
Iganga	347400	358100	368900	380000	391300	402600	414000	425400	436800	448300	459600	470900	482100	493000	503700	513400	
Isingiro	500300	518600	537400	556700	576300	596400	616700	637300	658100	679200	700400	721500	742800	763900	784900	804600	
Jinja	226800	230600	234500	237800	241500	245200	248500	251700	254900	257900	260700	263300	265800	268000	270100	271600	
Jinja City	250000	254000	257900	262300	266200	269900	273800	277500	280900	284300	287400	290500	293100	295600	297700	299100	
Kaabong	110800	113800	116900	119500	122500	125400	128600	131600	134400	137100	140100	142800	145500	148000	150400	152900	
Kabale	232800	236100	239400	242500	245600	248700	251600	254300	256900	259400	261600	263700	265600	267200	268500	269300	
Kabarole	200200	204500	209100	213400	217800	222200	226700	231100	235400	239400	243500	247200	251000	254400	257700	260700	
Kaberamaido	108700	113100	117700	122700	127800	132700	137900	143400	148700	154500	159900	165500	171200	177000	182900	188300	
Kagadi	361100	374200	387800	401700	415800	430200	444900	459700	474700	489800	505100	520300	535600	550800	565800	580100	
Kakumiro	313700	340800	370300	402100	436500	473400	513200	556000	601900	651200	704000	760300	820500	884600	952900	1024000	
Kalaki	113500	118300	123200	128200	133300	138700	144200	149600	155400	161000	167000	173000	179000	185000	190900	196800	
Kalangala	55900	58100	60300	62500	64800	67200	69500	72000	74500	77000	79500	82000	84500	87100	89700	92100	
Kaliro	242900	251600	260500	269700	279000	288500	298200	308000	317900	327800	337800	347800	357800	367800	377600	386800	
Kalungu	175700	177500	179500	181300	183100	184700	186300	187800	189200	190300	191500	192400	193100	193600	194000	194000	
Kampala City	1529400	1559700	1590100	1620600	1650800	1680600	1709900	1738600	1766500	1793600	1819700	1844500	1868100	1890300	1911000	1927400	
Kamuli	495600	508000	520500	533200	545900	558500	571200	583700	596100	608400	620300	632000	643300	654300	664800	673900	
Kamwenge	278900	289700	300500	311900	323600	335200	347400	359500	372000	384800	397400	410200	423000	435700	448600	460800	
Kanungu	200200	204500	209100	213400	217800	222200	226700	231100	235400	239400	243500	247200	251000	254400	257700	260700	
Kapchorwa	107600	110700	114000	117200	120500	123800	127200	130600	133900	137300	140500	143800	146900	150100	153200	155900	
Kapelebyong	89600	92400	95200	98000	100900	103800	106600	109500	112500	115500	118400	121200	124000	126800	129500	132000	
Karenga	60400	61800	63300	65200	66800	68500	69900	71400	73100	74800	76200	77800	79200	80700	82200	83200	
Kasanda	276800	283900	291000	298200	305400	312700	319900	327000	334100	341100	348000	354700	361200	367600	373600	379000	
Kasese	707600	724500	741600	758900	776100	793200	810400	827200	843900	860300	876200	891800	906800	921200	935100	946900	
Katakwi	169900	174700	179500	184500	189500	194600	199500	204600	209700	214600	219500	224300	229100	233800	238300	242300	
Kayunga	373200	380100	387100	394000	400900	407700	414300	420800	427100	433100	438900	444400	449600	454400	458900	462300	
Kazo	182300	188900	196000	203000	210400	217600	225000	232600	240400	248400	256300	263900	271900	279700	287400	294700	
Kibaale	147900	157000	166500	176600	187200	198200	209900	222000	234800	248100	261800	276300	291100	306600	322400	338400	
Kiboga	151200	155100	159100	163100	167100	171200	175200	179300	183300	187200	191100	194900	198600	202200	205600	208600	
Kibuku	208200	216200	224500	233000	241700	250600	259600	268900	278200	287700	297200	306800	316400	326100	335700	344800	
Kikuube	278700	293400	308700	324700	341300	358700	376600	395200	414400	434300	454600	475700	497200	519200	541700	563900	
Kiruhura	155300	161200	167000	173100	179200	185700	192200	198700	205300	211700	218300	225300	231900	238700	245400	251700	
Kiryandongo	272200	280300	288600	296800	305300	313800	322300	330800	339200	347800	356100	364500	372700	380700	388500	395500	
Kisoro	286000	291900	297800	303700	309600	315400	321100	326700	332200	337500	342700	347600	352200	356700	360900	364200	
Kitagwenda	148000	153700	159700	165800	171800	178300	184600	191200	197800	204300	211100	217900	224700	231600	238300	244700	
Kitgum	206600	210000	213400	216900	220200	223600	226700	229800	232900	235700	238400	240900	243200	245400	247300	248600	
Koboko	213000	221500	230300	239300	248500	258000	267700	277500	287500	297600	307900	318300	328700	339100	349500	359500	
Kole	245100	252700	260400	268300	276300	284300	292500	300600	308800	317000	325100	333200	341100	348900	356600	363500	
Kotido	184300	188700	193200	197600	202100	206500	210900	215300	219700	223900	228000	232000	236000	239600	243200	284300	
Kumi	245000	252700	260500	268500	276600	284800	292900	301200	309500	317700	325900	334100	342100	350100	357900	365000	
Kwania	187500	193200	198900	204800	210600	216600	222600	228600	234600	240500	246500	252400	258100	263800	269400	274400	
Kween	95700	98400	101100	103900	106700	109500	112300	115200	118000	120800	123500	126200	128900	131500	134000	136300	
Kyankwanzi	223200	234200	245600	257600	270000	282800	296100	309700	323900	338300	353200	368400	384000	399700	415800	431600	
Kyegegwa	300100	324300	350500	378600	408700	441000	475600	512400	551900	593900	638500	686000	736300	789800	846100	904500	
Kyenjojo	435200	452300	469900	488000	506500	525400	544800	564500	584400	604600	625000	645600	666300	686900	707700	727400	
Kyotera	242300	246100	250000	253700	257400	261000	264500	267900	271100	274200	277100	279800	282200	284400	286300	287700	
Lamwo	135600	137300	139000	140700	142300	143800	145400	146800	148100	149300	150500	151500	152400	153100	153700	154000	
Lira	204900	211000	216800	223100	229000	235300	241100	247600	253700	259800	265700	271800	277400	283200	288700	293800	
Lira City	212100	218000	224400	230400	236900	243200	249900	256000	262300	268600	275000	281100	287400	293200	299000	304100	
Luuka	241800	246800	251900	257000	262100	267100	272000	276800	281600	286200	290600	294900	298900	302800	306400	309400	
Luwero	465500	476900	488500	500200	511900	523600	535200	546700	558100	569200	580200	590900	601300	611300	620700	629100	
Lwengo	276900	279800	282600	285400	288100	290500	292900	295200	297200	298900	300500	301800	302900	303700	304200	304000	
Lyantonde	95900	98800	101600	104600	107500	110500	113500	116500	119600	122600	125600	128500	131400	134200	137000	139500	
Madi Okollo	143200	147300	151400	155700	159800	164200	168300	172800	176800	180900	185100	189300	193300	197100	201300	204300	
Manafwa	156200	160000	163800	167600	171300	175200	179000	182700	186300	190000	193500	197000	200300	203500	206500	209100	
Maracha	188900	192900	196800	200700	204500	208300	212200	215800	219500	222900	226300	229600	232700	235600	238300	240600	
Masaka	108400	110800	113300	115700	118000	120400	122800	125300	127600	129800	131900	134100	136200	138000	140000	141600	
Masaka City	202400	206900	211200	215700	220200	224700	229000	233000	237200	241400	245400	249000	252600	256300	259500	262100	
Masindi	297500	305800	314400	323100	331800	340500	349300	358100	366900	375600	384200	392600	400900	409000	416900	423900	
Mayuge	484900	500500	516200	532200	548600	565100	581700	598400	615200	632000	648700	665300	681800	698000	713900	728500	
Mbale	228000	235400	242900	250700	258800	266700	274900	282800	291000	299000	307400	315600	323200	331500	339100	346200	
Mbale City	273400	282300	291500	300800	310000	319600	329200	339000	348700	358700	368200	377800	387800	397000	406600	415400	
Mbarara	152000	155600	159100	162600	166000	169400	172800	176300	179300	182600	185900	188800	191700	194700	197500	199300	
Mbarara City	198700	203100	207500	212100	216800	221300	225800	229800	234700	238500	242600	246800	250600	254000	257300	260700	
Mitooma	184800	186800	188800	190800	192600	194300	195900	197500	198900	200200	201400	202400	203100	203700	204100	204200	
Mityana	333300	339200	345200	351100	356800	362500	368200	373600	378800	383900	388600	393100	397400	401300	404900	407600	
Moroto	105400	108000	110600	113200	115800	118500	121200	123800	126300	128800	131300	133700	136000	138300	140500	142400	
Moyo	97700	100000	102300	104700	107100	109500	111800	114100	116400	118800	120900	123000	125100	127100	129000	130700	
Mpigi	255200	261400	267600	273900	280300	286600	292900	299100	305300	311200	317100	322900	328500	333800	338900	343300	
Mubende	430200	453000	476900	501900	527800	554800	582900	611900	641800	672900	704800	737600	771300	805900	841100	875900	
Mukono	610200	627900	646000	664300	682800	701400	720100	738800	757500	776000	794300	812500	830300	847700	864800	880100	
Nabilatuk	71100	74500	78100	81900	85700	89700	93800	98200	102500	107100	111700	116400	121300	126100	131100	136000	
Nakapiripirit	91400	95500	99700	104200	108700	113300	118100	123000	128100	133200	138400	143700	149200	154700	160200	165400	
Nakaseke	202200	208400	214700	221300	227900	234600	241400	248200	254900	261800	268500	275200	281900	288400	295000	300900	
Nakasongola	186100	191700	197500	203400	209300	215200	221300	227300	233400	239400	245400	251300	257200	262900	268500	273700	
Namayingo	218200	222000	225800	229600	233300	237000	240600	244000	247400	250600	253700	256500	259200	261700	264000	265600	
Namisindwa	204300	209700	215100	220500	226100	231500	237000	242500	247900	253200	258500	263600	268500	273400	278100	282200	
Namutumba	259400	268400	277600	287100	296700	306500	316400	326300	336400	346600	356700	366900	377000	387100	397000	406200	
Napak	144300	147100	150000	152700	155500	158300	161000	163600	166200	168700	171100	173400	175500	177600	179400	181000	
Nebbi	244300	251700	259300	267000	274800	282600	290400	298300	306300	314100	321900	329700	337300	344800	352100	358800	
